Symbol,Close,Open,High,Low,Volume,Value,Date,OpenInt
VIC,28400.0,26900.0,28400.0,26700.0,2009300.0,0.0,2023-01-03,0.0
VIC,28000.0,28450.0,28550.0,27950.0,1928400.0,0.0,2023-01-04,0.0
VIC,28100.0,28050.0,28450.0,27900.0,1641900.0,0.0,2023-01-05,0.0
VIC,28050.0,28000.0,28050.0,27450.0,1951000.0,0.0,2023-01-06,0.0
VIC,27500.0,28100.0,28100.0,27500.0,1204200.0,0.0,2023-01-09,0.0
VIC,27250.0,27500.0,27500.0,26800.0,1742900.0,0.0,2023-01-10,0.0
VIC,27550.0,27250.0,27750.0,27050.0,1085600.0,0.0,2023-01-11,0.0
VIC,27500.0,27750.0,27750.0,27250.0,1067000.0,0.0,2023-01-12,0.0
VIC,27500.0,27500.0,27650.0,27200.0,1223800.0,0.0,2023-01-13,0.0
VIC,27400.0,27500.0,27500.0,26700.0,1687100.0,0.0,2023-01-16,0.0
VIC,27600.0,26750.0,27600.0,26750.0,1371200.0,0.0,2023-01-17,0.0
VIC,28350.0,27700.0,28350.0,27500.0,1647300.0,0.0,2023-01-18,0.0
VIC,28700.0,28150.0,28700.0,28000.0,2343100.0,0.0,2023-01-19,0.0
VIC,29600.0,28900.0,29650.0,28800.0,2197800.0,0.0,2023-01-27,0.0
VIC,28850.0,29750.0,29750.0,28750.0,1124500.0,0.0,2023-01-30,0.0
VIC,28550.0,29050.0,29250.0,28250.0,1377800.0,0.0,2023-01-31,0.0
VIC,27600.0,28800.0,28800.0,27400.0,1851600.0,0.0,2023-02-01,0.0
VIC,27900.0,27600.0,28050.0,27550.0,1328600.0,0.0,2023-02-02,0.0
VIC,28000.0,28000.0,28000.0,27500.0,1199400.0,0.0,2023-02-03,0.0
VIC,28000.0,27650.0,28000.0,27150.0,1416100.0,0.0,2023-02-06,0.0
VIC,27500.0,28000.0,28000.0,26800.0,1645000.0,0.0,2023-02-07,0.0
VIC,27200.0,27300.0,27300.0,26500.0,2145800.0,0.0,2023-02-08,0.0
VIC,27100.0,26750.0,27250.0,26200.0,3006800.0,0.0,2023-02-09,0.0
VIC,27000.0,26750.0,27150.0,26300.0,1696000.0,0.0,2023-02-10,0.0
VIC,26700.0,26550.0,26800.0,26250.0,1405200.0,0.0,2023-02-13,0.0
VIC,26450.0,26550.0,26550.0,25400.0,3116200.0,0.0,2023-02-14,0.0
VIC,26450.0,26350.0,26450.0,25450.0,3345700.0,0.0,2023-02-15,0.0
VIC,26700.0,26500.0,26850.0,25700.0,3240500.0,0.0,2023-02-16,0.0
VIC,26750.0,26700.0,26750.0,26100.0,1871500.0,0.0,2023-02-17,0.0
VIC,27050.0,26650.0,27500.0,26500.0,1515200.0,0.0,2023-02-20,0.0
VIC,27150.0,27100.0,27350.0,26850.0,1502600.0,0.0,2023-02-21,0.0
VIC,26500.0,26750.0,26800.0,26200.0,2557800.0,0.0,2023-02-22,0.0
VIC,26500.0,26400.0,26550.0,25550.0,2387100.0,0.0,2023-02-23,0.0
VIC,26450.0,26050.0,26450.0,25850.0,2206500.0,0.0,2023-02-24,0.0
VIC,26250.0,26000.0,26250.0,25700.0,1389900.0,0.0,2023-02-27,0.0
VIC,26300.0,26250.0,26500.0,26000.0,912500.0,0.0,2023-02-28,0.0
VIC,26350.0,26000.0,26650.0,25800.0,794700.0,0.0,2023-03-01,0.0
VIC,26400.0,26250.0,26650.0,26150.0,769300.0,0.0,2023-03-02,0.0
VIC,26350.0,26400.0,26500.0,26100.0,785900.0,0.0,2023-03-03,0.0
VIC,26300.0,26350.0,26650.0,26050.0,1569800.0,0.0,2023-03-06,0.0
VIC,26350.0,26500.0,26600.0,26200.0,1442300.0,0.0,2023-03-07,0.0
VIC,26500.0,26100.0,26650.0,26100.0,831900.0,0.0,2023-03-08,0.0
VIC,26500.0,26500.0,26800.0,26300.0,1037300.0,0.0,2023-03-09,0.0
VIC,26550.0,26500.0,26650.0,26250.0,899800.0,0.0,2023-03-10,0.0
VIC,26650.0,26550.0,26700.0,26250.0,996800.0,0.0,2023-03-13,0.0
VIC,26500.0,26600.0,26600.0,26300.0,1019000.0,0.0,2023-03-14,0.0
VIC,27000.0,26500.0,27000.0,26500.0,1177700.0,0.0,2023-03-15,0.0
VIC,26650.0,27000.0,27850.0,26500.0,3155600.0,0.0,2023-03-16,0.0
VIC,26600.0,26950.0,27000.0,26200.0,3121500.0,0.0,2023-03-17,0.0
VIC,26400.0,26500.0,26600.0,25700.0,3362300.0,0.0,2023-03-20,0.0
VIC,26400.0,26400.0,26700.0,25800.0,1766700.0,0.0,2023-03-21,0.0
VIC,26400.0,26300.0,26450.0,26050.0,1797500.0,0.0,2023-03-22,0.0
VIC,26400.0,26100.0,26400.0,26050.0,2073800.0,0.0,2023-03-23,0.0
VIC,26650.0,26400.0,26850.0,26250.0,830700.0,0.0,2023-03-24,0.0
VIC,26650.0,26650.0,26900.0,26400.0,702000.0,0.0,2023-03-27,0.0
VIC,26700.0,26650.0,26800.0,26600.0,782500.0,0.0,2023-03-28,0.0
VIC,26750.0,26750.0,26800.0,26450.0,585700.0,0.0,2023-03-29,0.0
VIC,26850.0,26750.0,27450.0,26700.0,993600.0,0.0,2023-03-30,0.0
VIC,27500.0,26800.0,27600.0,26800.0,2619400.0,0.0,2023-03-31,0.0
VIC,29000.0,27950.0,29400.0,27800.0,4851800.0,0.0,2023-04-03,0.0
VIC,28400.0,29250.0,29350.0,28400.0,1871700.0,0.0,2023-04-04,0.0
VIC,27750.0,28350.0,28350.0,27500.0,1974100.0,0.0,2023-04-05,0.0
VIC,27250.0,28200.0,28200.0,27250.0,2064900.0,0.0,2023-04-06,0.0
VIC,27200.0,27500.0,27500.0,26700.0,2379600.0,0.0,2023-04-07,0.0
VIC,26900.0,27250.0,27300.0,26650.0,2145100.0,0.0,2023-04-10,0.0
VIC,26800.0,26850.0,26850.0,26400.0,1847000.0,0.0,2023-04-11,0.0
VIC,26550.0,26650.0,26750.0,26300.0,3646300.0,0.0,2023-04-12,0.0
VIC,26500.0,26550.0,26750.0,26350.0,1919800.0,0.0,2023-04-13,0.0
VIC,26450.0,26600.0,26750.0,26350.0,1662600.0,0.0,2023-04-14,0.0
VIC,26450.0,26450.0,26500.0,26200.0,1758200.0,0.0,2023-04-17,0.0
VIC,26400.0,26450.0,26450.0,26200.0,1755800.0,0.0,2023-04-18,0.0
VIC,26300.0,26300.0,26350.0,26150.0,1746300.0,0.0,2023-04-19,0.0
VIC,26300.0,26250.0,26350.0,26100.0,1217400.0,0.0,2023-04-20,0.0
VIC,26350.0,26300.0,26350.0,26050.0,1698600.0,0.0,2023-04-21,0.0
VIC,26300.0,26350.0,26350.0,26100.0,1496200.0,0.0,2023-04-24,0.0
VIC,26250.0,26400.0,26400.0,25900.0,2716400.0,0.0,2023-04-25,0.0
VIC,25950.0,26200.0,26200.0,25850.0,1836600.0,0.0,2023-04-26,0.0
VIC,25250.0,25900.0,25900.0,25250.0,3596000.0,0.0,2023-04-27,0.0
VIC,26050.0,25300.0,26050.0,25300.0,2241100.0,0.0,2023-04-28,0.0
VIC,25650.0,26050.0,26050.0,25550.0,1498400.0,0.0,2023-05-04,0.0
VIC,25350.0,25450.0,25700.0,25300.0,1298800.0,0.0,2023-05-05,0.0
VIC,25450.0,25350.0,25450.0,25250.0,1338200.0,0.0,2023-05-08,0.0
VIC,25300.0,25450.0,25500.0,25200.0,1113400.0,0.0,2023-05-09,0.0
VIC,25300.0,25400.0,25400.0,25200.0,1069300.0,0.0,2023-05-10,0.0
VIC,25250.0,25350.0,25350.0,25150.0,1190300.0,0.0,2023-05-11,0.0
VIC,25850.0,25350.0,25950.0,25250.0,2093000.0,0.0,2023-05-12,0.0
VIC,27200.0,27450.0,27450.0,27000.0,4520000.0,0.0,2023-05-15,0.0
VIC,26450.0,27300.0,27400.0,26400.0,2621400.0,0.0,2023-05-16,0.0
VIC,26600.0,26450.0,26900.0,26250.0,2168200.0,0.0,2023-05-17,0.0
VIC,26600.0,26800.0,26900.0,26500.0,2078700.0,0.0,2023-05-18,0.0
VIC,26250.0,26700.0,26700.0,26050.0,1932200.0,0.0,2023-05-19,0.0
VIC,26050.0,26250.0,26350.0,25950.0,1855200.0,0.0,2023-05-22,0.0
VIC,26300.0,26100.0,26750.0,26100.0,2019000.0,0.0,2023-05-23,0.0
VIC,26300.0,26400.0,26400.0,26150.0,1290300.0,0.0,2023-05-24,0.0
VIC,26300.0,26300.0,26350.0,26100.0,1453500.0,0.0,2023-05-25,0.0
VIC,26000.0,26200.0,26250.0,26000.0,1593300.0,0.0,2023-05-26,0.0
VIC,26350.0,26000.0,26450.0,26000.0,1381300.0,0.0,2023-05-29,0.0
VIC,26200.0,26350.0,26450.0,26150.0,1315000.0,0.0,2023-05-30,0.0
VIC,26000.0,26200.0,26200.0,26000.0,2432000.0,0.0,2023-05-31,0.0
VIC,26000.0,26000.0,26100.0,25800.0,1526900.0,0.0,2023-06-01,0.0
VIC,26000.0,26000.0,26150.0,25950.0,1731400.0,0.0,2023-06-02,0.0
VIC,26050.0,26050.0,26250.0,26000.0,1824300.0,0.0,2023-06-05,0.0
VIC,26600.0,26100.0,26600.0,26100.0,2120200.0,0.0,2023-06-06,0.0
VIC,26400.0,26650.0,26800.0,26300.0,1656100.0,0.0,2023-06-07,0.0
VIC,26200.0,26400.0,26500.0,26200.0,1436100.0,0.0,2023-06-08,0.0
VIC,26150.0,26250.0,26300.0,26100.0,819000.0,0.0,2023-06-09,0.0
VIC,26700.0,26250.0,26700.0,26250.0,1711500.0,0.0,2023-06-12,0.0
VIC,27050.0,26850.0,27150.0,26650.0,2112100.0,0.0,2023-06-13,0.0
VIC,26900.0,27050.0,27350.0,26900.0,2242800.0,0.0,2023-06-14,0.0
VIC,26750.0,26900.0,27250.0,26650.0,2114700.0,0.0,2023-06-15,0.0
VIC,26750.0,26900.0,27000.0,26300.0,3878900.0,0.0,2023-06-16,0.0
VIC,26050.0,26900.0,26900.0,26050.0,2316600.0,0.0,2023-06-19,0.0
VIC,26000.0,26000.0,26250.0,25950.0,1464500.0,0.0,2023-06-20,0.0
VIC,26200.0,26050.0,26200.0,25850.0,2070400.0,0.0,2023-06-21,0.0
VIC,26200.0,26350.0,26400.0,26000.0,1626300.0,0.0,2023-06-22,0.0
VIC,26000.0,26050.0,26150.0,25950.0,2178900.0,0.0,2023-06-23,0.0
VIC,26100.0,26050.0,26350.0,25950.0,1524700.0,0.0,2023-06-26,0.0
VIC,26200.0,26100.0,26500.0,26100.0,2488300.0,0.0,2023-06-27,0.0
VIC,26100.0,26300.0,26350.0,26000.0,1893500.0,0.0,2023-06-28,0.0
VIC,25900.0,26100.0,26200.0,25900.0,1628300.0,0.0,2023-06-29,0.0
VIC,25500.0,25900.0,25950.0,25500.0,1743900.0,0.0,2023-06-30,0.0
VIC,25550.0,25750.0,25850.0,25550.0,1866100.0,0.0,2023-07-03,0.0
VIC,25650.0,25750.0,25750.0,25550.0,1359600.0,0.0,2023-07-04,0.0
VIC,25500.0,25700.0,25800.0,25450.0,2479200.0,0.0,2023-07-05,0.0
VIC,25200.0,25500.0,25700.0,25200.0,2599600.0,0.0,2023-07-06,0.0
VIC,25050.0,25250.0,25300.0,25000.0,2941600.0,0.0,2023-07-07,0.0
VIC,25450.0,25250.0,25600.0,25100.0,3345300.0,0.0,2023-07-10,0.0
VIC,25400.0,25500.0,25650.0,25400.0,1927900.0,0.0,2023-07-11,0.0
VIC,25700.0,25550.0,25950.0,25400.0,2295600.0,0.0,2023-07-12,0.0
VIC,25750.0,25750.0,26000.0,25600.0,1894000.0,0.0,2023-07-13,0.0
VIC,25700.0,25900.0,25900.0,25500.0,2013700.0,0.0,2023-07-14,0.0
VIC,26450.0,25800.0,26550.0,25700.0,4605500.0,0.0,2023-07-17,0.0
VIC,26350.0,26500.0,26550.0,26300.0,2091900.0,0.0,2023-07-18,0.0
VIC,26050.0,26450.0,26450.0,26050.0,1816000.0,0.0,2023-07-19,0.0
VIC,26000.0,26050.0,26300.0,25800.0,1893800.0,0.0,2023-07-20,0.0
VIC,26050.0,26000.0,26150.0,25800.0,2324800.0,0.0,2023-07-21,0.0
VIC,26000.0,26100.0,26300.0,25900.0,2621700.0,0.0,2023-07-24,0.0
VIC,25750.0,26050.0,26100.0,25750.0,3804000.0,0.0,2023-07-25,0.0
VIC,25500.0,25700.0,25950.0,25500.0,4119700.0,0.0,2023-07-26,0.0
VIC,25550.0,25500.0,25750.0,25400.0,3932500.0,0.0,2023-07-27,0.0
VIC,25750.0,25550.0,25800.0,25450.0,3550200.0,0.0,2023-07-28,0.0
VIC,27550.0,27550.0,27550.0,27300.0,10561900.0,0.0,2023-07-31,0.0
VIC,29450.0,29400.0,29450.0,29000.0,12259300.0,0.0,2023-08-01,0.0
VIC,29150.0,29500.0,29950.0,29050.0,12347800.0,0.0,2023-08-02,0.0
VIC,29100.0,29150.0,29750.0,29000.0,7522800.0,0.0,2023-08-03,0.0
VIC,31100.0,29500.0,31100.0,29500.0,21210800.0,0.0,2023-08-04,0.0
VIC,31950.0,31750.0,32150.0,31200.0,8090300.0,0.0,2023-08-07,0.0
VIC,33500.0,32000.0,33750.0,31800.0,11056400.0,0.0,2023-08-08,0.0
VIC,32900.0,33500.0,33900.0,32850.0,9768400.0,0.0,2023-08-09,0.0
VIC,33950.0,33150.0,34200.0,33050.0,7897700.0,0.0,2023-08-10,0.0
VIC,36300.0,36300.0,36300.0,36050.0,23093100.0,0.0,2023-08-11,0.0
VIC,36650.0,37450.0,37700.0,35750.0,12704000.0,0.0,2023-08-14,0.0
